id,name,chain,city_id,address_line,pincode,lat,lng
1,Apollo Pharmacy — Bandra,Apollo,1,"Linking Rd, Bandra West",400050,19.0596,72.8295
2,MedPlus — Bandra,MedPlus,1,"Hill Rd, Bandra West",400050,19.0544,72.8326
3,Wellness Forever — Khar,Wellness Forever,1,"SV Rd, Khar West",400052,19.0712,72.8361
4,Apollo Pharmacy — Koramangala,Apollo,2,"80 Feet Rd, Koramangala 4th Block",560034,12.9352,77.6245
5,MedPlus — Indiranagar,MedPlus,2,"100 Feet Rd, Indiranagar",560038,12.9719,77.6412
6,Netmeds Store — Whitefield,Netmeds,2,Whitefield Main Rd,560066,12.9698,77.7499
7,Apollo Pharmacy — Connaught Place,Apollo,3,"Block A, CP",110001,28.6315,77.2167
8,MedPlus — Karol Bagh,MedPlus,3,Ajmal Khan Rd,110005,28.6517,77.1909
9,Pharmacy_1,PaxMed dataset,1,Street 1,500001,19.076,72.8777
10,Pharmacy_2,PaxMed dataset,5,Street 2,500002,17.385,78.4867
11,Pharmacy_3,PaxMed dataset,1,Street 3,500003,19.076,72.8777
12,Pharmacy_4,PaxMed dataset,6,Street 4,500004,12.9716,77.5946
13,Pharmacy_5,PaxMed dataset,7,Street 5,500005,13.0827,80.2707
14,Pharmacy_6,PaxMed dataset,1,Street 6,500006,19.076,72.8777
15,Pharmacy_7,PaxMed dataset,8,Street 7,500007,28.6139,77.209
16,Pharmacy_8,PaxMed dataset,7,Street 8,500008,13.0827,80.2707
17,Pharmacy_9,PaxMed dataset,8,Street 9,500009,28.6139,77.209
18,Pharmacy_10,PaxMed dataset,7,Street 10,500010,13.0827,80.2707
19,Pharmacy_11,PaxMed dataset,6,Street 11,500011,12.9716,77.5946
20,Pharmacy_12,PaxMed dataset,5,Street 12,500012,17.385,78.4867
21,Pharmacy_13,PaxMed dataset,1,Street 13,500013,19.076,72.8777
22,Pharmacy_14,PaxMed dataset,7,Street 14,500014,13.0827,80.2707
23,Pharmacy_15,PaxMed dataset,5,Street 15,500015,17.385,78.4867
24,Pharmacy_16,PaxMed dataset,6,Street 16,500016,12.9716,77.5946
25,Pharmacy_17,PaxMed dataset,1,Street 17,500017,19.076,72.8777
26,Pharmacy_18,PaxMed dataset,6,Street 18,500018,12.9716,77.5946
27,Pharmacy_19,PaxMed dataset,1,Street 19,500019,19.076,72.8777
28,Pharmacy_20,PaxMed dataset,6,Street 20,500020,12.9716,77.5946
29,Pharmacy_21,PaxMed dataset,8,Street 21,500021,28.6139,77.209
30,Pharmacy_22,PaxMed dataset,8,Street 22,500022,28.6139,77.209
31,Pharmacy_23,PaxMed dataset,8,Street 23,500023,28.6139,77.209
32,Pharmacy_24,PaxMed dataset,8,Street 24,500024,28.6139,77.209
33,Pharmacy_25,PaxMed dataset,7,Street 25,500025,13.0827,80.2707
34,Pharmacy_26,PaxMed dataset,7,Street 26,500026,13.0827,80.2707
35,Pharmacy_27,PaxMed dataset,5,Street 27,500027,17.385,78.4867
36,Pharmacy_28,PaxMed dataset,1,Street 28,500028,19.076,72.8777
37,Pharmacy_29,PaxMed dataset,6,Street 29,500029,12.9716,77.5946
38,Pharmacy_30,PaxMed dataset,7,Street 30,500030,13.0827,80.2707
39,Pharmacy_31,PaxMed dataset,6,Street 31,500031,12.9716,77.5946
